"FORMULARIO","Depto","Mun","Fraccion","Radio","Viv","NroHogar","PM","Zon","Tipo_viv","CantidadPersonas","PersonaMayorCuatro","Personas_temporales","CantidadCochera","Hogar_Vehículo","CantidadVehículos","Tipo_vehículo_1","Propiedad_vehículo_1","MarcaVehículo_1","Combustible_1","Gasto_combustible_1","GastoCochera_1","GastoPatente_1","GastoSeguro_1","GastosTotal_1","MarcaVehículo_2","MarcaVehículo_3","HogarMoto","CantidadMotos","HogarCiclomotor","CantidadCiclomotores","HogarBicicleta","CantidadBicicletas","Plan_social","HogarIngresos","RangoIngresos","promedio_ingreso","IngresoT1","IngresoT2","HogarGastoTotal","RangoGastoTotal","promedio_gastototal","GastoT1","GastoT2","HogarGastosAlimentos","RangoGastosAlimentos","promedio_gasto_alimentos","GastoA1","HogarGastosTransporte","RangoGastosTransporte","Ingresoagregado_pers","IngresoTotalFinal","bienestar","FEX"
2031,28,30,19,6,137,1,202,7,"Departamento",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2050","97","97","2050","2050","3500","97","97","3500","3500","900","97","97","900","50","97","2050","2050","No Pobre",41.0320150862944
2032,28,30,4,10,9,1,208,6,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No",NA,NA,NA,NA,"2000",NA,NA,NA,NA,"2000","1000","97","97","1000","52","97",NA,"2000","No Pobre",43.2922505763231
2033,28,30,12,9,146,1,302,18,"Casa",3,2,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","chevrolet   ","Gasoil / Diesel","400","98","25","120","145","NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","3000","97","97","3000","3000","3000","97","97","3000","3000","1000","97","97","1000","100","97","1500","3000","No Pobre",28.6920903954802
2034,28,30,12,9,79,1,302,18,"Casa",4,4,0,0,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","ford fiesta ","Nafta / Alconafta","600","98","100","80","180","NULL        ","NULL        ","No",NA,"No",NA,"Sí","2","No","5000","97","97","5000","5000","6000","97","97","6000","6000","1500","97","97","1500","300","97","3000","5000","No Pobre",28.6920903954802
2035,28,30,4,8,361,1,215,5,"Casa",1,1,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","fiat        ","Nafta / Alconafta","300","98","34","80","114","NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"No","3000","97","97","3000","3000","3000","97","97","3000","3000","1300","97","97","1300",NA,NA,"3000","3000","No Pobre",80.8368640815449
2036,28,30,4,8,444,1,215,5,"Casilla / Rancho en villa de emergencia",5,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","3","Sí","1500","97","97","1500","1500","1500","97","97","1500","1500","1200","97","97","1200","100","97","600","1500","No Pobre",80.8368640815449
2037,28,30,1,17,112,1,209,10,"Departamento",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No",NA,"$871 a $1740","1305","1305","1305",NA,"Menor o igual a $870","435","435","435",NA,"Menor o igual a $350","175","175","20","97","2000","2000","No Pobre",96.7080645531554
2038,28,30,7,10,316,1,204,13,"Departamento",5,5,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","1000","97","97","1000","1000","1000","97","97","1000","1000","800","97","97","800","100","97","1070","1070","Pobre",54.5931839048312
2040,28,30,3,3,74,1,244,9,"Casa",5,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"Sí","2000","97","97","2000","2000","2000","97","97","2000","2000","1000","97","97","1000","20","97","2130","2130","No Pobre",63.0844288364697
2041,28,30,7,10,202,1,204,13,"Departamento",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","1000","97","97","1000","1000","1000","97","97","1000","1000","500","97","97","500",NA,NA,"1000","1000","Pobre",54.5931839048312
2042,28,30,1,3,6,1,102,8,"Casa",3,2,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","NULL        ","Nafta / Alconafta","345","98","98","98","98","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","3200","97","97","3200","3200","3000","97","97","3000","3000","1000","97","97","1000","10","97","3200","3200","No Pobre",58.4629031018764
2043,21,20,5,13,142,1,321,27,"Casa",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","1500","97","97","1500","1500","1500","97","97","1500","1500","1000","97","97","1000","50","97","1340","1500","No Pobre",50.7774071166928
2044,21,20,5,13,7,1,321,27,"Casa",2,2,4,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1045","97","97","1045","1045","1045","97","97","1045","1045","600","97","97","600","200","97","1145","1145","Pobre",50.7774071166928
2045,21,20,5,13,131,1,321,27,"Casa",3,3,0,0,"Si","1","Camioneta","Propio de algún miembro del hogar para uso particular","izuzu       ","Gasoil / Diesel","300","98","98","110","110","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","5000","97","97","5000","5000","5000","97","97","5000","5000","1500","97","97","1500","50","97","5000","5000","No Pobre",50.7774071166928
2046,21,20,5,13,108,1,321,27,"Casilla / Rancho aislado",5,5,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","2","No","800","97","97","800","800","800","97","97","800","800","750","97","97","750","50","97","1100","1100","Pobre",50.7774071166928
2047,21,20,5,13,30,1,321,27,"Casa",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","3","No","700","97","97","700","700","700","97","97","700","700","500","97","97","500","200","97","700","700","Pobre",50.7774071166928
2048,21,20,5,13,65,1,321,27,"Casa",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","650","97","97","650","650","650","97","97","650","650",NA,NA,NA,NA,NA,NA,"650","650","Pobre",50.7774071166928
2049,21,20,5,13,75,1,321,27,"Casa",4,4,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","renault     ","Nafta / Alconafta","100","98","98","98","98","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2600","97","97","2600","2600","2600","97","97","2600","2600","1400","97","97","1400","400","97","2780","2780","No Pobre",50.7774071166928
2050,28,30,12,11,230,1,154,17,"Casa",3,2,1,1,"Si","1","Auto","Propio de algún miembro del hogar para uso laboral","gol         ","Gasoil / Diesel","300","98","98","98","98","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","3000","97","97","3000","3000","3000","97","97","3000","3000","1500","97","97","1500","100","97","3000","3000","No Pobre",71.4856370531752
2051,28,30,12,11,318,1,154,17,"Casa",3,3,0,0,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","ford        ","Nafta / Alconafta","500","98","5","85","90","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","3500","97","97","3500","3500","3500","97","97","3500","3500","1500","97","97","1500","400","97","1920","3500","No Pobre",71.4856370531752
2052,28,30,12,11,383,1,154,17,"Casa",4,3,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","NULL        ","Nafta / Alconafta","500","98","12","180","192","NULL        ","NULL        ","No",NA,"No",NA,"Sí","3","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",71.4856370531752
2053,28,30,4,10,132,1,208,6,"Casa",4,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","1400","97","97","1400","1400","1400","97","97","1400","1400","600","97","97","600","200","97","1500","1500","No Pobre",43.2922505763231
2054,28,30,12,11,74,1,154,17,"Casa",3,3,1,1,"Si","1","Camioneta","Propio de algún miembro del hogar para uso particular","chevrolet   ","Gasoil / Diesel","100","98","98","98","60","NULL        ","NULL        ","Sí","1","No",NA,"Sí","2","No","2000","97","97","2000","2000","2000","97","97","2000","2000","1000","97","97","1000","72","97","190","2000","No Pobre",71.4856370531752
2055,28,30,19,6,328,1,202,7,"Departamento",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1300","97","97","1300","1300","1000","97","97","1000","1000","1000","97","97","1000",NA,NA,"1200","1300","Pobre",41.0320150862944
2056,28,30,19,6,223,1,202,7,"Departamento",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1800","97","97","1800","1800","1000","97","97","1000","1000","175","97","97","175",NA,NA,"2246","2246","No Pobre",41.0320150862944
2057,28,30,19,6,154,1,202,7,"Departamento",5,5,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","700","97","97","700","700","700","97","97","700","700","400","97","97","400","294","97","850","850","Pobre",41.0320150862944
2058,28,30,19,18,324,1,109,7,"Casa",5,5,0,0,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","ford        ","Nafta / Alconafta","280","98","120","140","260","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","5000","97","97","5000","5000","3500","97","97","3500","3500","2000","97","97","2000","50","97","3500","5000","No Pobre",82.804911369206
2059,28,30,20,13,337,1,141,19,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1000","97","97","1000","1000","1000","97","97","1000","1000","300","97","97","300","200","97","1000","1000","Pobre",49.1153219133754
2060,28,30,19,6,310,1,202,7,"Departamento",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2000","97","97","2000","2000","1500","97","97","1500","1500","800","97","97","800","80","97","2000","2000","No Pobre",41.0320150862944
2061,28,30,19,6,241,1,202,7,"Departamento",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1200","97","97","1200","1200","1200","97","97","1200","1200","800","97","97","800","80","97","1550","1550","No Pobre",41.0320150862944
2062,28,30,19,6,258,1,202,7,"Departamento",4,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","700","97","97","700","700","700","97","97","700","700","400","97","97","400","20","97","1200","1200","Pobre",41.0320150862944
2063,28,30,19,6,276,1,202,7,"Departamento",6,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","600","97","97","600","600","1000","97","97","1000","1000","360","97","97","360","120","97","1100","1100","Pobre",41.0320150862944
2066,28,30,2,11,49,1,310,1,"Departamento",1,1,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","renault     ","Nafta / Alconafta","500","100","98","98","98","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1500","97","97","1500","1500","4000","97","97","4000","4000","500","97","97","500",NA,NA,"1500","1500","No Pobre",98.392123622612
2067,28,30,2,11,229,1,310,1,"Casa",5,5,1,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","1200","97","97","1200","1200","200","97","97","200","200","1800","97","97","1800","50","97","1800","1800","No Pobre",98.392123622612
2068,28,30,1,17,141,1,209,10,"Departamento",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2500","97","97","2500","2500","2500","97","97","2500","2500","300","97","97","300",NA,NA,"2500","2500","No Pobre",96.7080645531554
2069,28,30,2,11,98,1,310,1,"Casa",2,0,0,2,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",98.392123622612
2071,28,30,9,7,95,1,216,1,"Casa",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",107.537585145974
2075,28,30,12,10,91,1,115,18,"Casa",6,6,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","4","No","3500","97","97","3500","3500","3000","97","97","3000","3000","2000","97","97","2000","300","97","1500","3500","No Pobre",62.5010861301184
2078,28,30,9,7,23,1,216,1,"Casa",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"No","4000","97","97","4000","4000","4000","97","97","4000","4000","2100","97","97","2100",NA,NA,"4000","4000","No Pobre",107.537585145974
2079,28,30,19,18,367,1,109,7,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","3000","97","97","3000","3000","2500","97","97","2500","2500","1500","97","97","1500","150","97","2800","3000","No Pobre",82.804911369206
2080,28,30,23,5,199,1,220,6,"Casa",8,8,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","NULL        ","Nafta / Alconafta","300","98","35","100","135","NULL        ","NULL        ","Sí","1","No",NA,"Sí","2","No",NA,NA,NA,NA,"2000","2000","97","97","2000","2000","1000","97","97","1000","300","97",NA,"2000","No Pobre",54.8735271234594
2089,28,30,20,12,508,1,234,11,"Casa",5,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","1000","97","97","1000","1000","500","97","97","500","500","300","97","97","300","30","97","800","1000","Pobre",73.9140534712475
2090,28,30,7,4,32,1,246,13,"Casa",9,9,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","1500","97","97","1500","1500","1500","97","97","1500","1500","1500","97","97","1500","20","97","2200","2200","No Pobre",65.6587960911269
2092,28,30,12,11,248,1,154,17,"Casa",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1000","97","97","1000","1000","1000","97","97","1000","1000",NA,NA,NA,NA,"90","97","1000","1000","Pobre",71.4856370531752
2093,28,30,12,9,179,1,302,18,"Departamento",4,2,0,0,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","toyota      ","Nafta / Alconafta","600","98","98","200","280","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No",NA,NA,NA,NA,"2000","2000","97","97","2000","2000","600","97","97","600","100","97","2500","2500","No Pobre",28.6920903954802
2094,28,30,7,4,58,1,246,13,"Casa",4,4,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","citroen c 3 ","Nafta / Alconafta","300","98","98","150","150","NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","10000","97","97","10000","10000","10000","97","97","10000","10000","670","97","97","670","100","97","10000","10000","No Pobre",65.6587960911269
2095,28,30,7,4,203,1,246,13,"Casa",3,3,1,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","gol         ","Nafta / Alconafta","400","98","60","80","140","NULL        ","NULL        ","No",NA,"No",NA,"Sí","3","No","2600","97","97","2600","2600","1000","97","97","1000","1000","600","97","97","600","40","97","2500","2600","No Pobre",65.6587960911269
2096,28,30,6,2,123,1,242,14,"Departamento",2,2,0,0,"Si","1","Auto","Propio de algún miembro del hogar para uso laboral","peugeot     ","Gasoil / Diesel","400","98","98","98","98","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2500","97","97","2500","2500",NA,NA,NA,NA,"2000","1000","97","97","1000",NA,NA,NA,"2500","No Pobre",64.7112135176651
2097,28,30,12,9,113,1,302,18,"Casa",4,4,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","Fiat 147    ","Nafta / Alconafta","350","98","12","100","112","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",28.6920903954802
2098,28,30,3,3,62,1,244,9,"Casa",5,5,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","2","Sí","1200","97","97","1200","1200","1000","97","97","1000","1000","700","97","97","700","100","97","1200","1200","Pobre",63.0844288364697
2099,28,30,7,4,176,1,246,13,"Departamento",3,3,0,1,"Si","1","Camioneta","Propio de algún miembro del hogar para uso particular","Ford        ","Gasoil / Diesel","600","98","98","110","110","NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","2000","97","97","2000","2000","2000","97","97","2000","2000","600","97","97","600","40","97","2000","2000","No Pobre",65.6587960911269
2100,28,30,7,4,6,1,246,13,"Casa",5,5,0,1,"Si","1","Camioneta","Propio de algún miembro del hogar para uso particular","NULL        ","Gasoil / Diesel","100","98","7","110","117","NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","1800","97","97","1800","1800","1200","97","97","1200","1200","500","97","97","500","19","97","1800","1800","No Pobre",65.6587960911269
2101,28,30,23,5,386,1,220,6,"Casa",1,1,0,0,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","lada        ","Nafta / Alconafta","600","98","98","80","80","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2000","97","97","2000","2000","1900","97","97","1900","1900","800","97","97","800","200","97","2000","2000","No Pobre",54.8735271234594
2102,28,30,23,5,82,1,220,6,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","800","97","97","800","800","800","97","97","800","800","600","97","97","600","200","97","800","800","Pobre",54.8735271234594
2103,28,30,23,5,363,1,220,6,"Casa",3,3,0,0,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","fiat        ","Nafta / Alconafta","300","98","16","150","166","NULL        ","NULL        ","No",NA,"No",NA,"Sí","2","No","400","97","97","400","400","400","97","97","400","400","250","97","97","250","10","97","2500","2500","No Pobre",54.8735271234594
2104,28,30,23,5,59,1,220,6,"Casa",6,6,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","2","Sí","3200","97","97","3200","3200","3000","97","97","3000","3000","700","97","97","700","400","97","3200","3200","No Pobre",54.8735271234594
2106,28,30,4,1,320,1,240,6,"Casa",5,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"Sí","3","Sí","2800","97","97","2800","2800","2700","97","97","2700","2700","1200","97","97","1200","300","97","2974","2974","No Pobre",66.9240239882442
2107,28,30,4,1,224,1,240,6,"Casa",3,3,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","wolswagen   ","Gasoil / Diesel","400","98","28","142","170","NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"No","5000","97","97","5000","5000","5000","97","97","5000","5000","3500","97","97","3500","518","97","6000","6000","No Pobre",66.9240239882442
2108,28,30,23,5,12,1,220,6,"Casa",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1200","97","97","1200","1200","1200","97","97","1200","1200","700","97","97","700",NA,NA,"1200","1200","Pobre",54.8735271234594
2109,28,30,19,18,188,1,109,7,"Casa",2,2,0,1,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2000","97","97","2000","2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4000","4000","No Pobre",82.804911369206
2110,28,30,12,11,143,1,154,17,"Casa",5,5,0,0,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","ford        ","Nafta / Alconafta","300","98","98","98","98","NULL        ","NULL        ","No",NA,"No",NA,"Sí","4","No","4000","97","97","4000","4000","4000","97","97","4000","4000","1500","97","97","1500","100","97","2900","4000","No Pobre",71.4856370531752
2111,28,30,12,9,72,1,302,18,"Casa",3,3,0,1,"Si","2","Auto","Propio de algún miembro del hogar para uso particular","renault     ","Nafta / Alconafta","400","98","98","65","65","wolsvagen   ","NULL        ","No",NA,"No",NA,"Sí","1","No","6000","97","97","6000","6000","4000","97","97","4000","4000","1500","97","97","1500","10","97","6000","6000","No Pobre",28.6920903954802
2112,28,30,5,5,199,2,132,3,"Pieza de inquilinato",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","900","97","97","900","900","900","97","97","900","900","250","97","97","250","40","97","900","900","Pobre",45.2960443436634
2113,28,10,13,11,446,1,120,25,"Casa",5,5,0,0,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","ford        ","Gasoil / Diesel","150","98","100","170","270","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","5000","97","97","5000","5000","3000","97","97","3000","3000","2000","97","97","2000","40","97","5000","5000","No Pobre",49.5902718332097
2114,28,30,7,4,163,1,246,13,"Casa",5,3,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","peugeot 206 ","Nafta / Alconafta","200","98","67","170","237","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","6000","97","97","6000","6000","1500","97","97","1500","1500","400","97","97","400",NA,NA,"6000","6000","No Pobre",65.6587960911269
2115,28,30,4,1,70,1,240,6,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1100","97","97","1100","1100","1000","97","97","1000","1000","500","97","97","500",NA,NA,"1100","1100","Pobre",66.9240239882442
2116,28,10,13,11,113,1,120,25,"Casa",1,1,0,1,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2000","97","97","2000","2000","1000","97","97","1000","1000","800","97","97","800","50","97","800","2000","No Pobre",49.5902718332097
2117,28,30,5,5,266,1,132,3,"Casa",4,3,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","NULL        ","Nafta / Alconafta","345","98","98","98","98","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","3000","97","97","3000","3000","3000","97","97","3000","3000","1000","97","97","1000","40","97","3300","3300","No Pobre",45.2960443436634
2118,28,30,4,1,51,1,240,6,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","3000","97","97","3000","3000","3000","97","97","3000","3000","2000","97","97","2000","100","97","3000","3000","No Pobre",66.9240239882442
2119,28,30,7,10,111,1,204,13,"Departamento",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"No","1800","97","97","1800","1800","1800","97","97","1800","1800","1800","97","97","1800","150","97","2800","2800","No Pobre",54.5931839048312
2120,28,30,7,10,186,1,204,13,"Departamento",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","3000","97","97","3000","3000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3000","3000","No Pobre",54.5931839048312
2121,28,30,4,1,205,1,240,6,"Casa",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"Sí","2","No","3000","97","97","3000","3000","3000","97","97","3000","3000","1000","97","97","1000",NA,NA,"3500","3500","No Pobre",66.9240239882442
2122,28,30,4,1,339,1,240,6,"Casilla / Rancho en villa de emergencia",1,1,0,1,"Si","1","Camioneta","Propio de algún miembro del hogar para uso particular","ford        ","Gasoil / Diesel","60","98","4","120","124","NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"No","1800","97","97","1800","1800","1800","97","97","1800","1800","800","97","97","800",NA,NA,"1800","1800","No Pobre",66.9240239882442
2123,28,30,7,10,353,1,204,13,"Casa",4,4,0,2,"Si","2","Camioneta","Propio de algún miembro del hogar para uso particular","ford        ","Nafta / Alconafta","300","98","98","195","195","peugeot     ","NULL        ","No",NA,"No",NA,"No",NA,"No","20000","97","97","20000","20000","12000","97","97","12000","12000","4000","97","97","4000","100","97","10000","20000","No Pobre",54.5931839048312
2124,28,30,4,1,360,1,240,6,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","2","No","2000","97","97","2000","2000","1800","97","97","1800","1800","1000","97","97","1000","240","97","2400","2400","No Pobre",66.9240239882442
2125,28,30,4,1,9,1,240,6,"Casa",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"150","97",NA,NA,"0",66.9240239882442
2126,28,30,23,5,152,1,220,6,"Casa",5,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","1170","97","97","1170","1170","1170","97","97","1170","1170","1000","97","97","1000","160","97","1350","1350","No Pobre",54.8735271234594
2127,28,30,19,3,390,1,106,7,"Departamento",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","3","No",NA,"No",NA,"No","4200","97","97","4200","4200","2000","97","97","2000","2000","600","97","97","600",NA,NA,"3900","4200","No Pobre",41.8207524687622
2128,28,30,8,10,279,1,235,22,"Casa",3,3,2,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1500","97","97","1500","1500","1500","97","97","1500","1500","900","97","97","900","130","97","1000","1500","No Pobre",35.2438245791951
